State,Year,Quarter,District,Registered_users,Region
andaman-&-nicobar-islands,2022,1,south andaman,63487,Southern Region
andaman-&-nicobar-islands,2022,1,north and middle andaman,10720,Southern Region
andaman-&-nicobar-islands,2022,1,nicobars,2081,Southern Region
andaman-&-nicobar-islands,2022,2,south andaman,66959,Southern Region
andaman-&-nicobar-islands,2022,2,north and middle andaman,11379,Southern Region
andaman-&-nicobar-islands,2022,2,nicobars,2192,Southern Region
andaman-&-nicobar-islands,2022,3,south andaman,70445,Southern Region
andaman-&-nicobar-islands,2022,3,north and middle andaman,11897,Southern Region
andaman-&-nicobar-islands,2022,3,nicobars,2300,Southern Region
andaman-&-nicobar-islands,2022,4,south andaman,73692,Southern Region
andaman-&-nicobar-islands,2022,4,north and middle andaman,12361,Southern Region
andaman-&-nicobar-islands,2022,4,nicobars,2389,Southern Region
andaman-&-nicobar-islands,2019,1,south andaman,15961,Southern Region
andaman-&-nicobar-islands,2019,1,north and middle andaman,2013,Southern Region
andaman-&-nicobar-islands,2019,1,nicobars,622,Southern Region
andaman-&-nicobar-islands,2019,2,south andaman,18621,Southern Region
andaman-&-nicobar-islands,2019,2,north and middle andaman,2417,Southern Region
andaman-&-nicobar-islands,2019,2,nicobars,693,Southern Region
andaman-&-nicobar-islands,2019,3,south andaman,20518,Southern Region
andaman-&-nicobar-islands,2019,3,north and middle andaman,2662,Southern Region
andaman-&-nicobar-islands,2019,3,nicobars,751,Southern Region
andaman-&-nicobar-islands,2019,4,south andaman,22202,Southern Region
andaman-&-nicobar-islands,2019,4,north and middle andaman,2955,Southern Region
andaman-&-nicobar-islands,2019,4,nicobars,803,Southern Region
andaman-&-nicobar-islands,2021,1,south andaman,48352,Southern Region
andaman-&-nicobar-islands,2021,1,north and middle andaman,7833,Southern Region
andaman-&-nicobar-islands,2021,1,nicobars,1573,Southern Region
andaman-&-nicobar-islands,2021,2,south andaman,51903,Southern Region
andaman-&-nicobar-islands,2021,2,north and middle andaman,8493,Southern Region
andaman-&-nicobar-islands,2021,2,nicobars,1699,Southern Region
andaman-&-nicobar-islands,2021,3,south andaman,55873,Southern Region
andaman-&-nicobar-islands,2021,3,north and middle andaman,9263,Southern Region
andaman-&-nicobar-islands,2021,3,nicobars,1846,Southern Region
andaman-&-nicobar-islands,2021,4,south andaman,59807,Southern Region
andaman-&-nicobar-islands,2021,4,north and middle andaman,10002,Southern Region
andaman-&-nicobar-islands,2021,4,nicobars,1971,Southern Region
andaman-&-nicobar-islands,2020,1,south andaman,24174,Southern Region
andaman-&-nicobar-islands,2020,1,north and middle andaman,3315,Southern Region
andaman-&-nicobar-islands,2020,1,nicobars,879,Southern Region
andaman-&-nicobar-islands,2020,2,south andaman,27626,Southern Region
andaman-&-nicobar-islands,2020,2,north and middle andaman,4100,Southern Region
andaman-&-nicobar-islands,2020,2,nicobars,984,Southern Region
andaman-&-nicobar-islands,2020,3,south andaman,34833,Southern Region
andaman-&-nicobar-islands,2020,3,north and middle andaman,5355,Southern Region
andaman-&-nicobar-islands,2020,3,nicobars,1147,Southern Region
andaman-&-nicobar-islands,2020,4,south andaman,43908,Southern Region
andaman-&-nicobar-islands,2020,4,north and middle andaman,7076,Southern Region
andaman-&-nicobar-islands,2020,4,nicobars,1412,Southern Region
andaman-&-nicobar-islands,2018,1,south andaman,5846,Southern Region
andaman-&-nicobar-islands,2018,1,north and middle andaman,632,Southern Region
andaman-&-nicobar-islands,2018,1,nicobars,262,Southern Region
andaman-&-nicobar-islands,2018,2,south andaman,8143,Southern Region
andaman-&-nicobar-islands,2018,2,north and middle andaman,911,Southern Region
andaman-&-nicobar-islands,2018,2,nicobars,351,Southern Region
andaman-&-nicobar-islands,2018,3,south andaman,10474,Southern Region
andaman-&-nicobar-islands,2018,3,north and middle andaman,1208,Southern Region
andaman-&-nicobar-islands,2018,3,nicobars,467,Southern Region
andaman-&-nicobar-islands,2018,4,south andaman,13133,Southern Region
andaman-&-nicobar-islands,2018,4,north and middle andaman,1553,Southern Region
andaman-&-nicobar-islands,2018,4,nicobars,536,Southern Region
tamil-nadu,2022,1,chennai,2388315,Southern Region
tamil-nadu,2022,1,thiruvallur,1970646,Southern Region
tamil-nadu,2022,1,coimbatore,1687096,Southern Region
tamil-nadu,2022,1,chengalpattu,1621177,Southern Region
tamil-nadu,2022,1,kancheepuram,1158719,Southern Region
tamil-nadu,2022,1,tiruppur,1014036,Southern Region
tamil-nadu,2022,1,salem,905104,Southern Region
tamil-nadu,2022,1,madurai,820952,Southern Region
tamil-nadu,2022,1,krishnagiri,776101,Southern Region
tamil-nadu,2022,1,tiruchirappalli,688562,Southern Region
tamil-nadu,2022,2,chennai,2509588,Southern Region
tamil-nadu,2022,2,thiruvallur,2075274,Southern Region
tamil-nadu,2022,2,coimbatore,1775760,Southern Region
tamil-nadu,2022,2,chengalpattu,1704864,Southern Region
tamil-nadu,2022,2,kancheepuram,1220237,Southern Region
tamil-nadu,2022,2,tiruppur,1070480,Southern Region
tamil-nadu,2022,2,salem,954155,Southern Region
tamil-nadu,2022,2,madurai,864806,Southern Region
tamil-nadu,2022,2,krishnagiri,818552,Southern Region
tamil-nadu,2022,2,tiruchirappalli,725751,Southern Region
tamil-nadu,2022,3,chennai,2635738,Southern Region
tamil-nadu,2022,3,thiruvallur,2183990,Southern Region
tamil-nadu,2022,3,coimbatore,1867655,Southern Region
tamil-nadu,2022,3,chengalpattu,1791530,Southern Region
tamil-nadu,2022,3,kancheepuram,1284243,Southern Region
tamil-nadu,2022,3,tiruppur,1128474,Southern Region
tamil-nadu,2022,3,salem,1005031,Southern Region
tamil-nadu,2022,3,madurai,910111,Southern Region
tamil-nadu,2022,3,krishnagiri,862231,Southern Region
tamil-nadu,2022,3,tiruchirappalli,763327,Southern Region
tamil-nadu,2022,4,chennai,2763151,Southern Region
tamil-nadu,2022,4,thiruvallur,2290089,Southern Region
tamil-nadu,2022,4,coimbatore,1955681,Southern Region
tamil-nadu,2022,4,chengalpattu,1876163,Southern Region
tamil-nadu,2022,4,kancheepuram,1346845,Southern Region
tamil-nadu,2022,4,tiruppur,1183174,Southern Region
tamil-nadu,2022,4,salem,1052099,Southern Region
tamil-nadu,2022,4,madurai,953739,Southern Region
tamil-nadu,2022,4,krishnagiri,902906,Southern Region
tamil-nadu,2022,4,tiruchirappalli,798742,Southern Region
tamil-nadu,2019,1,chennai,830586,Southern Region
tamil-nadu,2019,1,thiruvallur,625908,Southern Region
tamil-nadu,2019,1,chengalpattu,578045,Southern Region
tamil-nadu,2019,1,coimbatore,495350,Southern Region
tamil-nadu,2019,1,kancheepuram,385091,Southern Region
tamil-nadu,2019,1,tiruppur,273869,Southern Region
tamil-nadu,2019,1,salem,257624,Southern Region
tamil-nadu,2019,1,madurai,224783,Southern Region
tamil-nadu,2019,1,krishnagiri,212859,Southern Region
tamil-nadu,2019,1,tiruchirappalli,193798,Southern Region
tamil-nadu,2019,2,chennai,969955,Southern Region
tamil-nadu,2019,2,thiruvallur,733978,Southern Region
tamil-nadu,2019,2,chengalpattu,667137,Southern Region
tamil-nadu,2019,2,coimbatore,584160,Southern Region
tamil-nadu,2019,2,kancheepuram,447527,Southern Region
tamil-nadu,2019,2,tiruppur,324350,Southern Region
tamil-nadu,2019,2,salem,302033,Southern Region
tamil-nadu,2019,2,madurai,268420,Southern Region
tamil-nadu,2019,2,krishnagiri,252986,Southern Region
tamil-nadu,2019,2,tiruchirappalli,229886,Southern Region
tamil-nadu,2019,3,chennai,1090190,Southern Region
tamil-nadu,2019,3,thiruvallur,828137,Southern Region
tamil-nadu,2019,3,chengalpattu,744424,Southern Region
tamil-nadu,2019,3,coimbatore,669547,Southern Region
tamil-nadu,2019,3,kancheepuram,503192,Southern Region
tamil-nadu,2019,3,tiruppur,371296,Southern Region
tamil-nadu,2019,3,salem,342259,Southern Region
tamil-nadu,2019,3,madurai,305793,Southern Region
tamil-nadu,2019,3,krishnagiri,290478,Southern Region
tamil-nadu,2019,3,tiruchirappalli,261919,Southern Region
tamil-nadu,2019,4,chennai,1216610,Southern Region
tamil-nadu,2019,4,thiruvallur,934744,Southern Region
tamil-nadu,2019,4,chengalpattu,829575,Southern Region
tamil-nadu,2019,4,coimbatore,767480,Southern Region
tamil-nadu,2019,4,kancheepuram,564806,Southern Region
tamil-nadu,2019,4,tiruppur,427694,Southern Region
tamil-nadu,2019,4,salem,390301,Southern Region
tamil-nadu,2019,4,madurai,351234,Southern Region
tamil-nadu,2019,4,krishnagiri,335178,Southern Region
tamil-nadu,2019,4,tiruchirappalli,299366,Southern Region
tamil-nadu,2021,1,chennai,1865001,Southern Region
tamil-nadu,2021,1,thiruvallur,1522407,Southern Region
tamil-nadu,2021,1,coimbatore,1304141,Southern Region
tamil-nadu,2021,1,chengalpattu,1259678,Southern Region
tamil-nadu,2021,1,kancheepuram,895950,Southern Region
tamil-nadu,2021,1,tiruppur,772074,Southern Region
tamil-nadu,2021,1,salem,693137,Southern Region
tamil-nadu,2021,1,madurai,630685,Southern Region
tamil-nadu,2021,1,krishnagiri,592655,Southern Region
tamil-nadu,2021,1,tiruchirappalli,527667,Southern Region
tamil-nadu,2021,2,chennai,1988355,Southern Region
tamil-nadu,2021,2,thiruvallur,1626966,Southern Region
tamil-nadu,2021,2,coimbatore,1393621,Southern Region
tamil-nadu,2021,2,chengalpattu,1344163,Southern Region
tamil-nadu,2021,2,kancheepuram,957182,Southern Region
tamil-nadu,2021,2,tiruppur,828168,Southern Region
tamil-nadu,2021,2,salem,742566,Southern Region
tamil-nadu,2021,2,madurai,675035,Southern Region
tamil-nadu,2021,2,krishnagiri,635191,Southern Region
tamil-nadu,2021,2,tiruchirappalli,565156,Southern Region
tamil-nadu,2021,3,chennai,2124347,Southern Region
tamil-nadu,2021,3,thiruvallur,1744228,Southern Region
tamil-nadu,2021,3,coimbatore,1494350,Southern Region
tamil-nadu,2021,3,chengalpattu,1438295,Southern Region
tamil-nadu,2021,3,kancheepuram,1025651,Southern Region
tamil-nadu,2021,3,tiruppur,891753,Southern Region
tamil-nadu,2021,3,salem,798213,Southern Region
tamil-nadu,2021,3,madurai,725021,Southern Region
tamil-nadu,2021,3,krishnagiri,683549,Southern Region
tamil-nadu,2021,3,tiruchirappalli,607438,Southern Region
tamil-nadu,2021,4,chennai,2261346,Southern Region
tamil-nadu,2021,4,thiruvallur,1860992,Southern Region
tamil-nadu,2021,4,coimbatore,1594082,Southern Region
tamil-nadu,2021,4,chengalpattu,1532535,Southern Region
tamil-nadu,2021,4,kancheepuram,1094222,Southern Region
tamil-nadu,2021,4,tiruppur,954674,Southern Region
tamil-nadu,2021,4,salem,853064,Southern Region
tamil-nadu,2021,4,madurai,774490,Southern Region
tamil-nadu,2021,4,krishnagiri,731018,Southern Region
tamil-nadu,2021,4,tiruchirappalli,649095,Southern Region
tamil-nadu,2020,1,chennai,1340762,Southern Region
tamil-nadu,2020,1,thiruvallur,1041642,Southern Region
tamil-nadu,2020,1,chengalpattu,912587,Southern Region
tamil-nadu,2020,1,coimbatore,868832,Southern Region
tamil-nadu,2020,1,kancheepuram,626872,Southern Region
tamil-nadu,2020,1,tiruppur,488697,Southern Region
tamil-nadu,2020,1,salem,442045,Southern Region
tamil-nadu,2020,1,madurai,402474,Southern Region
tamil-nadu,2020,1,krishnagiri,379857,Southern Region
tamil-nadu,2020,1,tiruchirappalli,339829,Southern Region
tamil-nadu,2020,2,chennai,1436722,Southern Region
tamil-nadu,2020,2,thiruvallur,1140330,Southern Region
tamil-nadu,2020,2,chengalpattu,979769,Southern Region
tamil-nadu,2020,2,coimbatore,958191,Southern Region
tamil-nadu,2020,2,kancheepuram,678899,Southern Region
tamil-nadu,2020,2,tiruppur,550609,Southern Region
tamil-nadu,2020,2,salem,499360,Southern Region
tamil-nadu,2020,2,madurai,456527,Southern Region
tamil-nadu,2020,2,krishnagiri,424184,Southern Region
tamil-nadu,2020,2,tiruchirappalli,383178,Southern Region
tamil-nadu,2020,3,chennai,1566152,Southern Region
tamil-nadu,2020,3,thiruvallur,1260923,Southern Region
tamil-nadu,2020,3,coimbatore,1073680,Southern Region
tamil-nadu,2020,3,chengalpattu,1064263,Southern Region
tamil-nadu,2020,3,kancheepuram,744437,Southern Region
tamil-nadu,2020,3,tiruppur,625391,Southern Region
tamil-nadu,2020,3,salem,564858,Southern Region
tamil-nadu,2020,3,madurai,516447,Southern Region
tamil-nadu,2020,3,krishnagiri,480568,Southern Region
tamil-nadu,2020,3,tiruchirappalli,433221,Southern Region
tamil-nadu,2020,4,chennai,1731527,Southern Region
tamil-nadu,2020,4,thiruvallur,1408348,Southern Region
tamil-nadu,2020,4,coimbatore,1205249,Southern Region
tamil-nadu,2020,4,chengalpattu,1170720,Southern Region
tamil-nadu,2020,4,kancheepuram,829207,Southern Region
tamil-nadu,2020,4,tiruppur,710489,Southern Region
tamil-nadu,2020,4,salem,638883,Southern Region
tamil-nadu,2020,4,madurai,582252,Southern Region
tamil-nadu,2020,4,krishnagiri,545815,Southern Region
tamil-nadu,2020,4,tiruchirappalli,487716,Southern Region
tamil-nadu,2018,1,chennai,292004,Southern Region
tamil-nadu,2018,1,thiruvallur,215622,Southern Region
tamil-nadu,2018,1,chengalpattu,215210,Southern Region
tamil-nadu,2018,1,coimbatore,170306,Southern Region
tamil-nadu,2018,1,kancheepuram,136352,Southern Region
tamil-nadu,2018,1,salem,88288,Southern Region
tamil-nadu,2018,1,tiruppur,87652,Southern Region
tamil-nadu,2018,1,madurai,72582,Southern Region
tamil-nadu,2018,1,krishnagiri,66958,Southern Region
tamil-nadu,2018,1,tiruchirappalli,62230,Southern Region
tamil-nadu,2018,2,chennai,401349,Southern Region
tamil-nadu,2018,2,thiruvallur,300210,Southern Region
tamil-nadu,2018,2,chengalpattu,292432,Southern Region
tamil-nadu,2018,2,coimbatore,244374,Southern Region
tamil-nadu,2018,2,kancheepuram,188583,Southern Region
tamil-nadu,2018,2,tiruppur,128535,Southern Region
tamil-nadu,2018,2,salem,126830,Southern Region
tamil-nadu,2018,2,madurai,105957,Southern Region
tamil-nadu,2018,2,krishnagiri,96842,Southern Region
tamil-nadu,2018,2,tiruchirappalli,91156,Southern Region
tamil-nadu,2018,3,chennai,511138,Southern Region
tamil-nadu,2018,3,thiruvallur,381620,Southern Region
tamil-nadu,2018,3,chengalpattu,368413,Southern Region
tamil-nadu,2018,3,coimbatore,318461,Southern Region
tamil-nadu,2018,3,kancheepuram,239985,Southern Region
tamil-nadu,2018,3,tiruppur,172195,Southern Region
tamil-nadu,2018,3,salem,164489,Southern Region
tamil-nadu,2018,3,madurai,138064,Southern Region
tamil-nadu,2018,3,krishnagiri,128769,Southern Region
tamil-nadu,2018,3,tiruchirappalli,119661,Southern Region
tamil-nadu,2018,4,chennai,689276,Southern Region
tamil-nadu,2018,4,thiruvallur,514830,Southern Region
tamil-nadu,2018,4,chengalpattu,483785,Southern Region
tamil-nadu,2018,4,coimbatore,415090,Southern Region
tamil-nadu,2018,4,kancheepuram,318007,Southern Region
tamil-nadu,2018,4,tiruppur,227253,Southern Region
tamil-nadu,2018,4,salem,215365,Southern Region
tamil-nadu,2018,4,madurai,183206,Southern Region
tamil-nadu,2018,4,krishnagiri,172743,Southern Region
tamil-nadu,2018,4,tiruchirappalli,160006,Southern Region
lakshadweep,2022,1,lakshadweep,5990,Southern Region
lakshadweep,2022,2,lakshadweep,6327,Southern Region
lakshadweep,2022,3,lakshadweep,6645,Southern Region
lakshadweep,2022,4,lakshadweep,6961,Southern Region
lakshadweep,2019,1,lakshadweep,1416,Southern Region
lakshadweep,2019,2,lakshadweep,1747,Southern Region
lakshadweep,2019,3,lakshadweep,2117,Southern Region
lakshadweep,2019,4,lakshadweep,2427,Southern Region
lakshadweep,2021,1,lakshadweep,4577,Southern Region
lakshadweep,2021,2,lakshadweep,4896,Southern Region
lakshadweep,2021,3,lakshadweep,5287,Southern Region
lakshadweep,2021,4,lakshadweep,5638,Southern Region
lakshadweep,2020,1,lakshadweep,2772,Southern Region
lakshadweep,2020,2,lakshadweep,3187,Southern Region
lakshadweep,2020,3,lakshadweep,3644,Southern Region
lakshadweep,2020,4,lakshadweep,4179,Southern Region
lakshadweep,2018,1,lakshadweep,501,Southern Region
lakshadweep,2018,2,lakshadweep,686,Southern Region
lakshadweep,2018,3,lakshadweep,918,Southern Region
lakshadweep,2018,4,lakshadweep,1156,Southern Region
telangana,2022,1,hyderabad,4306136,Southern Region
telangana,2022,1,rangareddy,3722676,Southern Region
telangana,2022,1,medchal malkajgiri,3138387,Southern Region
telangana,2022,1,sangareddy,997988,Southern Region
telangana,2022,1,warangal urban,797162,Southern Region
telangana,2022,1,nalgonda,681754,Southern Region
telangana,2022,1,khammam,650223,Southern Region
telangana,2022,1,nizamabad,628661,Southern Region
telangana,2022,1,karimnagar,592752,Southern Region
telangana,2022,1,bhadradri kothagudem,465349,Southern Region
telangana,2022,2,hyderabad,4519625,Southern Region
telangana,2022,2,rangareddy,3911372,Southern Region
telangana,2022,2,medchal malkajgiri,3297882,Southern Region
telangana,2022,2,sangareddy,1051378,Southern Region
telangana,2022,2,warangal urban,838533,Southern Region
telangana,2022,2,nalgonda,719911,Southern Region
telangana,2022,2,khammam,685755,Southern Region
telangana,2022,2,nizamabad,662427,Southern Region
telangana,2022,2,karimnagar,624054,Southern Region
telangana,2022,2,bhadradri kothagudem,491003,Southern Region
telangana,2022,3,hyderabad,4739891,Southern Region
telangana,2022,3,rangareddy,4105107,Southern Region
telangana,2022,3,medchal malkajgiri,3463208,Southern Region
telangana,2022,3,sangareddy,1106571,Southern Region
telangana,2022,3,warangal urban,881363,Southern Region
telangana,2022,3,nalgonda,758377,Southern Region
telangana,2022,3,khammam,721877,Southern Region
telangana,2022,3,nizamabad,697031,Southern Region
telangana,2022,3,karimnagar,656534,Southern Region
telangana,2022,3,bhadradri kothagudem,517431,Southern Region
telangana,2022,4,hyderabad,4962214,Southern Region
telangana,2022,4,rangareddy,4296707,Southern Region
telangana,2022,4,medchal malkajgiri,3628619,Southern Region
telangana,2022,4,sangareddy,1159594,Southern Region
telangana,2022,4,warangal urban,923715,Southern Region
telangana,2022,4,nalgonda,793688,Southern Region
telangana,2022,4,khammam,755705,Southern Region
telangana,2022,4,nizamabad,729287,Southern Region
telangana,2022,4,karimnagar,687385,Southern Region
telangana,2022,4,bhadradri kothagudem,542203,Southern Region
telangana,2019,1,hyderabad,1638436,Southern Region
telangana,2019,1,rangareddy,1470874,Southern Region
telangana,2019,1,medchal malkajgiri,1279531,Southern Region
telangana,2019,1,sangareddy,346529,Southern Region
telangana,2019,1,warangal urban,301881,Southern Region
telangana,2019,1,karimnagar,218609,Southern Region
telangana,2019,1,nalgonda,211184,Southern Region
telangana,2019,1,khammam,206049,Southern Region
telangana,2019,1,nizamabad,186351,Southern Region
telangana,2019,1,siddipet,152281,Southern Region
telangana,2019,2,hyderabad,1856926,Southern Region
telangana,2019,2,rangareddy,1651300,Southern Region
telangana,2019,2,medchal malkajgiri,1428880,Southern Region
telangana,2019,2,sangareddy,395371,Southern Region
telangana,2019,2,warangal urban,342602,Southern Region
telangana,2019,2,karimnagar,246886,Southern Region
telangana,2019,2,nalgonda,243227,Southern Region
telangana,2019,2,khammam,239435,Southern Region
telangana,2019,2,nizamabad,217841,Southern Region
telangana,2019,2,siddipet,175413,Southern Region
telangana,2019,3,hyderabad,2071673,Southern Region
telangana,2019,3,rangareddy,1826019,Southern Region
telangana,2019,3,medchal malkajgiri,1572320,Southern Region
telangana,2019,3,sangareddy,441944,Southern Region
telangana,2019,3,warangal urban,381730,Southern Region
telangana,2019,3,karimnagar,274735,Southern Region
telangana,2019,3,nalgonda,274568,Southern Region
telangana,2019,3,khammam,270101,Southern Region
telangana,2019,3,nizamabad,248977,Southern Region
telangana,2019,3,siddipet,196397,Southern Region
telangana,2019,4,hyderabad,2283903,Southern Region
telangana,2019,4,rangareddy,2001437,Southern Region
telangana,2019,4,medchal malkajgiri,1714832,Southern Region
telangana,2019,4,sangareddy,493353,Southern Region
telangana,2019,4,warangal urban,421970,Southern Region
telangana,2019,4,nalgonda,312849,Southern Region
telangana,2019,4,karimnagar,305507,Southern Region
telangana,2019,4,khammam,304804,Southern Region
telangana,2019,4,nizamabad,284623,Southern Region
telangana,2019,4,siddipet,221164,Southern Region
telangana,2021,1,hyderabad,3379663,Southern Region
telangana,2021,1,rangareddy,2906635,Southern Region
telangana,2021,1,medchal malkajgiri,2450573,Southern Region
telangana,2021,1,sangareddy,767476,Southern Region
telangana,2021,1,warangal urban,620947,Southern Region
telangana,2021,1,nalgonda,517727,Southern Region
telangana,2021,1,khammam,497818,Southern Region
telangana,2021,1,nizamabad,485751,Southern Region
telangana,2021,1,karimnagar,459407,Southern Region
telangana,2021,1,bhadradri kothagudem,354847,Southern Region
telangana,2021,2,hyderabad,3598337,Southern Region
telangana,2021,2,rangareddy,3097973,Southern Region
telangana,2021,2,medchal malkajgiri,2611159,Southern Region
telangana,2021,2,sangareddy,820387,Southern Region
telangana,2021,2,warangal urban,661592,Southern Region
telangana,2021,2,nalgonda,555043,Southern Region
telangana,2021,2,khammam,532589,Southern Region
telangana,2021,2,nizamabad,518801,Southern Region
telangana,2021,2,karimnagar,490218,Southern Region
telangana,2021,2,bhadradri kothagudem,380059,Southern Region
telangana,2021,3,hyderabad,3839513,Southern Region
telangana,2021,3,rangareddy,3310906,Southern Region
telangana,2021,3,medchal malkajgiri,2790387,Southern Region
telangana,2021,3,sangareddy,880907,Southern Region
telangana,2021,3,warangal urban,707591,Southern Region
telangana,2021,3,nalgonda,598288,Southern Region
telangana,2021,3,khammam,572647,Southern Region
telangana,2021,3,nizamabad,556044,Southern Region
telangana,2021,3,karimnagar,524929,Southern Region
telangana,2021,3,bhadradri kothagudem,409224,Southern Region
telangana,2021,4,hyderabad,4081185,Southern Region
telangana,2021,4,rangareddy,3523496,Southern Region
telangana,2021,4,medchal malkajgiri,2969740,Southern Region
telangana,2021,4,sangareddy,940845,Southern Region
telangana,2021,4,warangal urban,753613,Southern Region
telangana,2021,4,nalgonda,641044,Southern Region
telangana,2021,4,khammam,612314,Southern Region
telangana,2021,4,nizamabad,593223,Southern Region
telangana,2021,4,karimnagar,559456,Southern Region
telangana,2021,4,bhadradri kothagudem,438017,Southern Region
telangana,2020,1,hyderabad,2483843,Southern Region
telangana,2020,1,rangareddy,2166829,Southern Region
telangana,2020,1,medchal malkajgiri,1845599,Southern Region
telangana,2020,1,sangareddy,542540,Southern Region
telangana,2020,1,warangal urban,457591,Southern Region
telangana,2020,1,nalgonda,351793,Southern Region
telangana,2020,1,khammam,340747,Southern Region
telangana,2020,1,karimnagar,334300,Southern Region
telangana,2020,1,nizamabad,320572,Southern Region
