State,Year,Quarter,District,Transaction_count,Transaction_amount,Region
andaman-&-nicobar-islands,2022,1,North and Middle andaman ,60059,161624878.52274162,Southern Region
andaman-&-nicobar-islands,2022,1,South andaman ,705512,1872991195.9026842,Southern Region
andaman-&-nicobar-islands,2022,1,Nicobars ,29177,94414127.64974089,Southern Region
andaman-&-nicobar-islands,2022,2,North and Middle andaman ,72573,195693167.78757262,Southern Region
andaman-&-nicobar-islands,2022,2,South andaman ,954875,2357326563.362071,Southern Region
andaman-&-nicobar-islands,2022,2,Nicobars ,43769,132900618.93062322,Southern Region
andaman-&-nicobar-islands,2022,3,North and Middle andaman ,79574,211581970.34202647,Southern Region
andaman-&-nicobar-islands,2022,3,South andaman ,1455255,2967719400.849909,Southern Region
andaman-&-nicobar-islands,2022,3,Nicobars ,49550,131330400.94545081,Southern Region
andaman-&-nicobar-islands,2022,4,North and Middle andaman ,93297,241431284.3558103,Southern Region
andaman-&-nicobar-islands,2022,4,South andaman ,1835592,3600887266.099448,Southern Region
andaman-&-nicobar-islands,2022,4,Nicobars ,58646,142355853.9735252,Southern Region
andaman-&-nicobar-islands,2019,1,North and Middle andaman ,3264,9561708.736298349,Southern Region
andaman-&-nicobar-islands,2019,1,South andaman ,25683,85501972.38780196,Southern Region
andaman-&-nicobar-islands,2019,1,Nicobars ,1539,7236059.549389593,Southern Region
andaman-&-nicobar-islands,2019,2,North and Middle andaman ,3371,8612103.137888122,Southern Region
andaman-&-nicobar-islands,2019,2,South andaman ,28490,102530955.71341251,Southern Region
andaman-&-nicobar-islands,2019,2,Nicobars ,1828,9111650.82436246,Southern Region
andaman-&-nicobar-islands,2019,3,North and Middle andaman ,4049,11481466.28335679,Southern Region
andaman-&-nicobar-islands,2019,3,South andaman ,27421,91023888.32848613,Southern Region
andaman-&-nicobar-islands,2019,3,Nicobars ,2300,11566421.47545101,Southern Region
andaman-&-nicobar-islands,2019,4,North and Middle andaman ,4716,13524056.784573939,Southern Region
andaman-&-nicobar-islands,2019,4,South andaman ,27843,110930312.2061162,Southern Region
andaman-&-nicobar-islands,2019,4,Nicobars ,2600,12384161.52668771,Southern Region
andaman-&-nicobar-islands,2021,1,North and Middle andaman ,27358,75027255.27919498,Southern Region
andaman-&-nicobar-islands,2021,1,South andaman ,207092,669604045.1248703,Southern Region
andaman-&-nicobar-islands,2021,1,Nicobars ,10302,39075266.9856904,Southern Region
andaman-&-nicobar-islands,2021,2,North and Middle andaman ,39200,90233388.79463302,Southern Region
andaman-&-nicobar-islands,2021,2,South andaman ,286907,760893020.5704944,Southern Region
andaman-&-nicobar-islands,2021,2,Nicobars ,15307,48020606.74716837,Southern Region
andaman-&-nicobar-islands,2021,3,North and Middle andaman ,46592,118254865.8275068,Southern Region
andaman-&-nicobar-islands,2021,3,South andaman ,382418,1116789010.645961,Southern Region
andaman-&-nicobar-islands,2021,3,Nicobars ,20754,74980519.3281361,Southern Region
andaman-&-nicobar-islands,2021,4,North and Middle andaman ,53115,156486112.2873243,Southern Region
andaman-&-nicobar-islands,2021,4,South andaman ,558571,1694794708.0093331,Southern Region
andaman-&-nicobar-islands,2021,4,Nicobars ,24437,81329281.02699961,Southern Region
andaman-&-nicobar-islands,2020,1,North and Middle andaman ,5674,14697371.6178571,Southern Region
andaman-&-nicobar-islands,2020,1,South andaman ,32713,134679396.90582752,Southern Region
andaman-&-nicobar-islands,2020,1,Nicobars ,2911,12099543.77359005,Southern Region
andaman-&-nicobar-islands,2020,2,North and Middle andaman ,10979,22447714.061058953,Southern Region
andaman-&-nicobar-islands,2020,2,South andaman ,48088,132855778.74838582,Southern Region
andaman-&-nicobar-islands,2020,2,Nicobars ,3895,14341508.60470232,Southern Region
andaman-&-nicobar-islands,2020,3,North and Middle andaman ,16747,33486883.37042555,Southern Region
andaman-&-nicobar-islands,2020,3,South andaman ,95323,282366109.2052393,Southern Region
andaman-&-nicobar-islands,2020,3,Nicobars ,5413,22166453.75469538,Southern Region
andaman-&-nicobar-islands,2020,4,North and Middle andaman ,29349,68941322.38839513,Southern Region
andaman-&-nicobar-islands,2020,4,South andaman ,186494,523122462.88302904,Southern Region
andaman-&-nicobar-islands,2020,4,Nicobars ,8688,35218871.04342849,Southern Region
andaman-&-nicobar-islands,2018,1,North and Middle andaman ,442,931663.0770939873,Southern Region
andaman-&-nicobar-islands,2018,1,South andaman ,5688,12560249.34366581,Southern Region
andaman-&-nicobar-islands,2018,1,Nicobars ,528,1139848.801225994,Southern Region
andaman-&-nicobar-islands,2018,2,North and Middle andaman ,825,1317863.0834906558,Southern Region
andaman-&-nicobar-islands,2018,2,South andaman ,9395,23948235.51634325,Southern Region
andaman-&-nicobar-islands,2018,2,Nicobars ,1120,3072436.9081196385,Southern Region
andaman-&-nicobar-islands,2018,3,North and Middle andaman ,1283,4901529.518499676,Southern Region
andaman-&-nicobar-islands,2018,3,South andaman ,13511,44268112.464252464,Southern Region
andaman-&-nicobar-islands,2018,3,Nicobars ,1471,6387829.151558982,Southern Region
andaman-&-nicobar-islands,2018,4,North and Middle andaman ,2137,7955635.917688001,Southern Region
andaman-&-nicobar-islands,2018,4,South andaman ,20136,75411840.8018554,Southern Region
andaman-&-nicobar-islands,2018,4,Nicobars ,1485,7180859.354911782,Southern Region
tamil-nadu,2022,1,Tiruchirappalli ,5422369,11360010997.10903,Southern Region
tamil-nadu,2022,1,Ramanathapuram ,1425024,3361169634.371577,Southern Region
tamil-nadu,2022,1,Krishnagiri ,11729353,20650466208.67074,Southern Region
