State,Year,Quarter,District,Registered_users,App_opens,Region
andaman-&-nicobar-islands,2022,1,North and Middle andaman ,10720,904869,Southern Region
andaman-&-nicobar-islands,2022,1,South andaman ,63487,2368756,Southern Region
andaman-&-nicobar-islands,2022,1,Nicobars ,2081,573782,Southern Region
andaman-&-nicobar-islands,2022,2,North and Middle andaman ,11379,963824,Southern Region
andaman-&-nicobar-islands,2022,2,South andaman ,66959,3404740,Southern Region
andaman-&-nicobar-islands,2022,2,Nicobars ,2192,811449,Southern Region
andaman-&-nicobar-islands,2022,3,North and Middle andaman ,11897,1176567,Southern Region
andaman-&-nicobar-islands,2022,3,South andaman ,70445,3607286,Southern Region
andaman-&-nicobar-islands,2022,3,Nicobars ,2300,1284501,Southern Region
andaman-&-nicobar-islands,2022,4,North and Middle andaman ,12361,313502,Southern Region
andaman-&-nicobar-islands,2022,4,South andaman ,73692,3881359,Southern Region
andaman-&-nicobar-islands,2022,4,Nicobars ,2389,159232,Southern Region
andaman-&-nicobar-islands,2019,1,North and Middle andaman ,2013,0,Southern Region
andaman-&-nicobar-islands,2019,1,South andaman ,15961,0,Southern Region
andaman-&-nicobar-islands,2019,1,Nicobars ,622,0,Southern Region
andaman-&-nicobar-islands,2019,2,North and Middle andaman ,2417,6118,Southern Region
andaman-&-nicobar-islands,2019,2,South andaman ,18621,43569,Southern Region
andaman-&-nicobar-islands,2019,2,Nicobars ,693,2953,Southern Region
andaman-&-nicobar-islands,2019,3,North and Middle andaman ,2662,22064,Southern Region
andaman-&-nicobar-islands,2019,3,South andaman ,20518,138190,Southern Region
andaman-&-nicobar-islands,2019,3,Nicobars ,751,10853,Southern Region
andaman-&-nicobar-islands,2019,4,North and Middle andaman ,2955,26253,Southern Region
andaman-&-nicobar-islands,2019,4,South andaman ,22202,139646,Southern Region
andaman-&-nicobar-islands,2019,4,Nicobars ,803,11113,Southern Region
andaman-&-nicobar-islands,2021,1,North and Middle andaman ,7833,121680,Southern Region
andaman-&-nicobar-islands,2021,1,South andaman ,48352,837589,Southern Region
andaman-&-nicobar-islands,2021,1,Nicobars ,1573,45067,Southern Region
andaman-&-nicobar-islands,2021,2,North and Middle andaman ,8493,596182,Southern Region
andaman-&-nicobar-islands,2021,2,South andaman ,51903,1270226,Southern Region
andaman-&-nicobar-islands,2021,2,Nicobars ,1699,381815,Southern Region
andaman-&-nicobar-islands,2021,3,North and Middle andaman ,9263,759314,Southern Region
andaman-&-nicobar-islands,2021,3,South andaman ,55873,1771107,Southern Region
andaman-&-nicobar-islands,2021,3,Nicobars ,1846,591204,Southern Region
andaman-&-nicobar-islands,2021,4,North and Middle andaman ,10002,171921,Southern Region
andaman-&-nicobar-islands,2021,4,South andaman ,59807,1863037,Southern Region
andaman-&-nicobar-islands,2021,4,Nicobars ,1971,77952,Southern Region
andaman-&-nicobar-islands,2020,1,North and Middle andaman ,3315,30444,Southern Region
andaman-&-nicobar-islands,2020,1,South andaman ,24174,151529,Southern Region
andaman-&-nicobar-islands,2020,1,Nicobars ,879,11613,Southern Region
andaman-&-nicobar-islands,2020,2,North and Middle andaman ,4100,56992,Southern Region
andaman-&-nicobar-islands,2020,2,South andaman ,27626,231071,Southern Region
andaman-&-nicobar-islands,2020,2,Nicobars ,984,17009,Southern Region
