State,Year,Quarter,District,Registered_users,Region
Nagaland,2022,1,Dimapur,124644,North Central Region
Nagaland,2022,1,Kohima,49523,North Central Region
Nagaland,2022,1,Mon,21773,North Central Region
Nagaland,2022,1,Mokokchung,21029,North Central Region
Nagaland,2022,1,Wokha,12743,North Central Region
Nagaland,2022,1,Tuensang,12057,North Central Region
Nagaland,2022,1,Phek,10413,North Central Region
Nagaland,2022,1,Zunheboto,8280,North Central Region
Nagaland,2022,1,Peren,5881,North Central Region
Nagaland,2022,1,Kiphire,5368,North Central Region
Nagaland,2022,2,Dimapur,131738,North Central Region
Nagaland,2022,2,Kohima,52343,North Central Region
Nagaland,2022,2,Mon,23037,North Central Region
Nagaland,2022,2,Mokokchung,22136,North Central Region
Nagaland,2022,2,Wokha,13417,North Central Region
Nagaland,2022,2,Tuensang,12747,North Central Region
Nagaland,2022,2,Phek,11005,North Central Region
Nagaland,2022,2,Zunheboto,8753,North Central Region
Nagaland,2022,2,Peren,6212,North Central Region
Nagaland,2022,2,Kiphire,5687,North Central Region
Nagaland,2022,3,Dimapur,139011,North Central Region
Nagaland,2022,3,Kohima,55046,North Central Region
Nagaland,2022,3,Mon,24237,North Central Region
Nagaland,2022,3,Mokokchung,23192,North Central Region
Nagaland,2022,3,Wokha,14092,North Central Region
Nagaland,2022,3,Tuensang,13393,North Central Region
Nagaland,2022,3,Phek,11494,North Central Region
Nagaland,2022,3,Zunheboto,9128,North Central Region
Nagaland,2022,3,Peren,6534,North Central Region
Nagaland,2022,3,Kiphire,5963,North Central Region
Nagaland,2022,4,Dimapur,145923,North Central Region
Nagaland,2022,4,Kohima,57592,North Central Region
Nagaland,2022,4,Mon,25340,North Central Region
Nagaland,2022,4,Mokokchung,24045,North Central Region
Nagaland,2022,4,Wokha,14702,North Central Region
Nagaland,2022,4,Tuensang,13900,North Central Region
Nagaland,2022,4,Phek,11847,North Central Region
Nagaland,2022,4,Zunheboto,9422,North Central Region
Nagaland,2022,4,Peren,6750,North Central Region
Nagaland,2022,4,Kiphire,6211,North Central Region
Nagaland,2019,1,Dimapur,28091,North Central Region
Nagaland,2019,1,Kohima,10747,North Central Region
Nagaland,2019,1,Mokokchung,3721,North Central Region
Nagaland,2019,1,Mon,2458,North Central Region
Nagaland,2019,1,Wokha,1830,North Central Region
Nagaland,2019,1,Phek,1727,North Central Region
Nagaland,2019,1,Tuensang,1678,North Central Region
Nagaland,2019,1,Zunheboto,1374,North Central Region
Nagaland,2019,1,Peren,884,North Central Region
Nagaland,2019,1,Kiphire,862,North Central Region
Nagaland,2019,2,Dimapur,34567,North Central Region
Nagaland,2019,2,Kohima,13108,North Central Region
Nagaland,2019,2,Mokokchung,4655,North Central Region
Nagaland,2019,2,Mon,3210,North Central Region
Nagaland,2019,2,Wokha,2411,North Central Region
Nagaland,2019,2,Tuensang,2152,North Central Region
Nagaland,2019,2,Phek,2143,North Central Region
Nagaland,2019,2,Zunheboto,1680,North Central Region
Nagaland,2019,2,Peren,1148,North Central Region
Nagaland,2019,2,Kiphire,1084,North Central Region
Nagaland,2019,3,Dimapur,41036,North Central Region
Nagaland,2019,3,Kohima,15677,North Central Region
Nagaland,2019,3,Mokokchung,5593,North Central Region
Nagaland,2019,3,Mon,3976,North Central Region
Nagaland,2019,3,Wokha,2961,North Central Region
Nagaland,2019,3,Phek,2642,North Central Region
Nagaland,2019,3,Tuensang,2599,North Central Region
Nagaland,2019,3,Zunheboto,2058,North Central Region
Nagaland,2019,3,Peren,1377,North Central Region
Nagaland,2019,3,Kiphire,1251,North Central Region
Nagaland,2019,4,Dimapur,47000,North Central Region
Nagaland,2019,4,Kohima,18232,North Central Region
Nagaland,2019,4,Mokokchung,6606,North Central Region
Nagaland,2019,4,Mon,4863,North Central Region
Nagaland,2019,4,Wokha,3540,North Central Region
Nagaland,2019,4,Phek,3109,North Central Region
Nagaland,2019,4,Tuensang,3081,North Central Region
Nagaland,2019,4,Zunheboto,2475,North Central Region
Nagaland,2019,4,Peren,1623,North Central Region
Nagaland,2019,4,Kiphire,1460,North Central Region
Nagaland,2021,1,Dimapur,94968,North Central Region
Nagaland,2021,1,Kohima,37488,North Central Region
Nagaland,2021,1,Mon,16154,North Central Region
Nagaland,2021,1,Mokokchung,15634,North Central Region
Nagaland,2021,1,Wokha,9531,North Central Region
Nagaland,2021,1,Tuensang,8866,North Central Region
Nagaland,2021,1,Phek,7536,North Central Region
Nagaland,2021,1,Zunheboto,6013,North Central Region
Nagaland,2021,1,Peren,4286,North Central Region
Nagaland,2021,1,Kiphire,3904,North Central Region
Nagaland,2021,2,Dimapur,101835,North Central Region
Nagaland,2021,2,Kohima,40277,North Central Region
