State,Year,Quarter,District,Registered_users,Region
andaman-&-nicobar-islands,2022,1,South andaman,63487,Southern Region
andaman-&-nicobar-islands,2022,1,North and Middle andaman,10720,Southern Region
andaman-&-nicobar-islands,2022,1,Nicobars,2081,Southern Region
andaman-&-nicobar-islands,2022,2,South andaman,66959,Southern Region
andaman-&-nicobar-islands,2022,2,North and Middle andaman,11379,Southern Region
andaman-&-nicobar-islands,2022,2,Nicobars,2192,Southern Region
andaman-&-nicobar-islands,2022,3,South andaman,70445,Southern Region
andaman-&-nicobar-islands,2022,3,North and Middle andaman,11897,Southern Region
andaman-&-nicobar-islands,2022,3,Nicobars,2300,Southern Region
andaman-&-nicobar-islands,2022,4,South andaman,73692,Southern Region
andaman-&-nicobar-islands,2022,4,North and Middle andaman,12361,Southern Region
andaman-&-nicobar-islands,2022,4,Nicobars,2389,Southern Region
andaman-&-nicobar-islands,2019,1,South andaman,15961,Southern Region
andaman-&-nicobar-islands,2019,1,North and Middle andaman,2013,Southern Region
andaman-&-nicobar-islands,2019,1,Nicobars,622,Southern Region
andaman-&-nicobar-islands,2019,2,South andaman,18621,Southern Region
andaman-&-nicobar-islands,2019,2,North and Middle andaman,2417,Southern Region
andaman-&-nicobar-islands,2019,2,Nicobars,693,Southern Region
andaman-&-nicobar-islands,2019,3,South andaman,20518,Southern Region
andaman-&-nicobar-islands,2019,3,North and Middle andaman,2662,Southern Region
andaman-&-nicobar-islands,2019,3,Nicobars,751,Southern Region
andaman-&-nicobar-islands,2019,4,South andaman,22202,Southern Region
andaman-&-nicobar-islands,2019,4,North and Middle andaman,2955,Southern Region
andaman-&-nicobar-islands,2019,4,Nicobars,803,Southern Region
andaman-&-nicobar-islands,2021,1,South andaman,48352,Southern Region
andaman-&-nicobar-islands,2021,1,North and Middle andaman,7833,Southern Region
andaman-&-nicobar-islands,2021,1,Nicobars,1573,Southern Region
andaman-&-nicobar-islands,2021,2,South andaman,51903,Southern Region
andaman-&-nicobar-islands,2021,2,North and Middle andaman,8493,Southern Region
andaman-&-nicobar-islands,2021,2,Nicobars,1699,Southern Region
andaman-&-nicobar-islands,2021,3,South andaman,55873,Southern Region
andaman-&-nicobar-islands,2021,3,North and Middle andaman,9263,Southern Region
andaman-&-nicobar-islands,2021,3,Nicobars,1846,Southern Region
andaman-&-nicobar-islands,2021,4,South andaman,59807,Southern Region
andaman-&-nicobar-islands,2021,4,North and Middle andaman,10002,Southern Region
andaman-&-nicobar-islands,2021,4,Nicobars,1971,Southern Region
andaman-&-nicobar-islands,2020,1,South andaman,24174,Southern Region
andaman-&-nicobar-islands,2020,1,North and Middle andaman,3315,Southern Region
andaman-&-nicobar-islands,2020,1,Nicobars,879,Southern Region
andaman-&-nicobar-islands,2020,2,South andaman,27626,Southern Region
andaman-&-nicobar-islands,2020,2,North and Middle andaman,4100,Southern Region
andaman-&-nicobar-islands,2020,2,Nicobars,984,Southern Region
andaman-&-nicobar-islands,2020,3,South andaman,34833,Southern Region
andaman-&-nicobar-islands,2020,3,North and Middle andaman,5355,Southern Region
andaman-&-nicobar-islands,2020,3,Nicobars,1147,Southern Region
andaman-&-nicobar-islands,2020,4,South andaman,43908,Southern Region
andaman-&-nicobar-islands,2020,4,North and Middle andaman,7076,Southern Region
andaman-&-nicobar-islands,2020,4,Nicobars,1412,Southern Region
andaman-&-nicobar-islands,2018,1,South andaman,5846,Southern Region
andaman-&-nicobar-islands,2018,1,North and Middle andaman,632,Southern Region
andaman-&-nicobar-islands,2018,1,Nicobars,262,Southern Region
andaman-&-nicobar-islands,2018,2,South andaman,8143,Southern Region
andaman-&-nicobar-islands,2018,2,North and Middle andaman,911,Southern Region
andaman-&-nicobar-islands,2018,2,Nicobars,351,Southern Region
andaman-&-nicobar-islands,2018,3,South andaman,10474,Southern Region
andaman-&-nicobar-islands,2018,3,North and Middle andaman,1208,Southern Region
andaman-&-nicobar-islands,2018,3,Nicobars,467,Southern Region
andaman-&-nicobar-islands,2018,4,South andaman,13133,Southern Region
andaman-&-nicobar-islands,2018,4,North and Middle andaman,1553,Southern Region
andaman-&-nicobar-islands,2018,4,Nicobars,536,Southern Region
tamil-nadu,2022,1,Chennai,2388315,Southern Region
tamil-nadu,2022,1,Thiruvallur,1970646,Southern Region
tamil-nadu,2022,1,Coimbatore,1687096,Southern Region
tamil-nadu,2022,1,Chengalpattu,1621177,Southern Region
tamil-nadu,2022,1,Kancheepuram,1158719,Southern Region
tamil-nadu,2022,1,Tiruppur,1014036,Southern Region
tamil-nadu,2022,1,Salem,905104,Southern Region
tamil-nadu,2022,1,Madurai,820952,Southern Region
tamil-nadu,2022,1,Krishnagiri,776101,Southern Region
tamil-nadu,2022,1,Tiruchirappalli,688562,Southern Region
tamil-nadu,2022,2,Chennai,2509588,Southern Region
tamil-nadu,2022,2,Thiruvallur,2075274,Southern Region
tamil-nadu,2022,2,Coimbatore,1775760,Southern Region
tamil-nadu,2022,2,Chengalpattu,1704864,Southern Region
tamil-nadu,2022,2,Kancheepuram,1220237,Southern Region
tamil-nadu,2022,2,Tiruppur,1070480,Southern Region
tamil-nadu,2022,2,Salem,954155,Southern Region
tamil-nadu,2022,2,Madurai,864806,Southern Region
tamil-nadu,2022,2,Krishnagiri,818552,Southern Region
tamil-nadu,2022,2,Tiruchirappalli,725751,Southern Region
tamil-nadu,2022,3,Chennai,2635738,Southern Region
tamil-nadu,2022,3,Thiruvallur,2183990,Southern Region
tamil-nadu,2022,3,Coimbatore,1867655,Southern Region
tamil-nadu,2022,3,Chengalpattu,1791530,Southern Region
tamil-nadu,2022,3,Kancheepuram,1284243,Southern Region
tamil-nadu,2022,3,Tiruppur,1128474,Southern Region
tamil-nadu,2022,3,Salem,1005031,Southern Region
tamil-nadu,2022,3,Madurai,910111,Southern Region
tamil-nadu,2022,3,Krishnagiri,862231,Southern Region
tamil-nadu,2022,3,Tiruchirappalli,763327,Southern Region
tamil-nadu,2022,4,Chennai,2763151,Southern Region
tamil-nadu,2022,4,Thiruvallur,2290089,Southern Region
tamil-nadu,2022,4,Coimbatore,1955681,Southern Region
tamil-nadu,2022,4,Chengalpattu,1876163,Southern Region
tamil-nadu,2022,4,Kancheepuram,1346845,Southern Region
tamil-nadu,2022,4,Tiruppur,1183174,Southern Region
tamil-nadu,2022,4,Salem,1052099,Southern Region
tamil-nadu,2022,4,Madurai,953739,Southern Region
tamil-nadu,2022,4,Krishnagiri,902906,Southern Region
tamil-nadu,2022,4,Tiruchirappalli,798742,Southern Region
tamil-nadu,2019,1,Chennai,830586,Southern Region
tamil-nadu,2019,1,Thiruvallur,625908,Southern Region
tamil-nadu,2019,1,Chengalpattu,578045,Southern Region
tamil-nadu,2019,1,Coimbatore,495350,Southern Region
tamil-nadu,2019,1,Kancheepuram,385091,Southern Region
tamil-nadu,2019,1,Tiruppur,273869,Southern Region
tamil-nadu,2019,1,Salem,257624,Southern Region
tamil-nadu,2019,1,Madurai,224783,Southern Region
tamil-nadu,2019,1,Krishnagiri,212859,Southern Region
tamil-nadu,2019,1,Tiruchirappalli,193798,Southern Region
tamil-nadu,2019,2,Chennai,969955,Southern Region
tamil-nadu,2019,2,Thiruvallur,733978,Southern Region
tamil-nadu,2019,2,Chengalpattu,667137,Southern Region
tamil-nadu,2019,2,Coimbatore,584160,Southern Region
tamil-nadu,2019,2,Kancheepuram,447527,Southern Region
tamil-nadu,2019,2,Tiruppur,324350,Southern Region
tamil-nadu,2019,2,Salem,302033,Southern Region
tamil-nadu,2019,2,Madurai,268420,Southern Region
tamil-nadu,2019,2,Krishnagiri,252986,Southern Region
tamil-nadu,2019,2,Tiruchirappalli,229886,Southern Region
tamil-nadu,2019,3,Chennai,1090190,Southern Region
tamil-nadu,2019,3,Thiruvallur,828137,Southern Region
tamil-nadu,2019,3,Chengalpattu,744424,Southern Region
tamil-nadu,2019,3,Coimbatore,669547,Southern Region
tamil-nadu,2019,3,Kancheepuram,503192,Southern Region
tamil-nadu,2019,3,Tiruppur,371296,Southern Region
tamil-nadu,2019,3,Salem,342259,Southern Region
tamil-nadu,2019,3,Madurai,305793,Southern Region
tamil-nadu,2019,3,Krishnagiri,290478,Southern Region
tamil-nadu,2019,3,Tiruchirappalli,261919,Southern Region
tamil-nadu,2019,4,Chennai,1216610,Southern Region
tamil-nadu,2019,4,Thiruvallur,934744,Southern Region
tamil-nadu,2019,4,Chengalpattu,829575,Southern Region
tamil-nadu,2019,4,Coimbatore,767480,Southern Region
tamil-nadu,2019,4,Kancheepuram,564806,Southern Region
tamil-nadu,2019,4,Tiruppur,427694,Southern Region
tamil-nadu,2019,4,Salem,390301,Southern Region
tamil-nadu,2019,4,Madurai,351234,Southern Region
tamil-nadu,2019,4,Krishnagiri,335178,Southern Region
tamil-nadu,2019,4,Tiruchirappalli,299366,Southern Region
tamil-nadu,2021,1,Chennai,1865001,Southern Region
tamil-nadu,2021,1,Thiruvallur,1522407,Southern Region
tamil-nadu,2021,1,Coimbatore,1304141,Southern Region
tamil-nadu,2021,1,Chengalpattu,1259678,Southern Region
tamil-nadu,2021,1,Kancheepuram,895950,Southern Region
tamil-nadu,2021,1,Tiruppur,772074,Southern Region
tamil-nadu,2021,1,Salem,693137,Southern Region
tamil-nadu,2021,1,Madurai,630685,Southern Region
tamil-nadu,2021,1,Krishnagiri,592655,Southern Region
tamil-nadu,2021,1,Tiruchirappalli,527667,Southern Region
tamil-nadu,2021,2,Chennai,1988355,Southern Region
tamil-nadu,2021,2,Thiruvallur,1626966,Southern Region
tamil-nadu,2021,2,Coimbatore,1393621,Southern Region
tamil-nadu,2021,2,Chengalpattu,1344163,Southern Region
tamil-nadu,2021,2,Kancheepuram,957182,Southern Region
tamil-nadu,2021,2,Tiruppur,828168,Southern Region
tamil-nadu,2021,2,Salem,742566,Southern Region
tamil-nadu,2021,2,Madurai,675035,Southern Region
tamil-nadu,2021,2,Krishnagiri,635191,Southern Region
tamil-nadu,2021,2,Tiruchirappalli,565156,Southern Region
tamil-nadu,2021,3,Chennai,2124347,Southern Region
tamil-nadu,2021,3,Thiruvallur,1744228,Southern Region
tamil-nadu,2021,3,Coimbatore,1494350,Southern Region
tamil-nadu,2021,3,Chengalpattu,1438295,Southern Region
tamil-nadu,2021,3,Kancheepuram,1025651,Southern Region
tamil-nadu,2021,3,Tiruppur,891753,Southern Region
tamil-nadu,2021,3,Salem,798213,Southern Region
tamil-nadu,2021,3,Madurai,725021,Southern Region
tamil-nadu,2021,3,Krishnagiri,683549,Southern Region
tamil-nadu,2021,3,Tiruchirappalli,607438,Southern Region
tamil-nadu,2021,4,Chennai,2261346,Southern Region
tamil-nadu,2021,4,Thiruvallur,1860992,Southern Region
tamil-nadu,2021,4,Coimbatore,1594082,Southern Region
tamil-nadu,2021,4,Chengalpattu,1532535,Southern Region
tamil-nadu,2021,4,Kancheepuram,1094222,Southern Region
tamil-nadu,2021,4,Tiruppur,954674,Southern Region
tamil-nadu,2021,4,Salem,853064,Southern Region
tamil-nadu,2021,4,Madurai,774490,Southern Region
tamil-nadu,2021,4,Krishnagiri,731018,Southern Region
tamil-nadu,2021,4,Tiruchirappalli,649095,Southern Region
tamil-nadu,2020,1,Chennai,1340762,Southern Region
tamil-nadu,2020,1,Thiruvallur,1041642,Southern Region
tamil-nadu,2020,1,Chengalpattu,912587,Southern Region
tamil-nadu,2020,1,Coimbatore,868832,Southern Region
tamil-nadu,2020,1,Kancheepuram,626872,Southern Region
tamil-nadu,2020,1,Tiruppur,488697,Southern Region
tamil-nadu,2020,1,Salem,442045,Southern Region
tamil-nadu,2020,1,Madurai,402474,Southern Region
tamil-nadu,2020,1,Krishnagiri,379857,Southern Region
tamil-nadu,2020,1,Tiruchirappalli,339829,Southern Region
tamil-nadu,2020,2,Chennai,1436722,Southern Region
tamil-nadu,2020,2,Thiruvallur,1140330,Southern Region
tamil-nadu,2020,2,Chengalpattu,979769,Southern Region
tamil-nadu,2020,2,Coimbatore,958191,Southern Region
tamil-nadu,2020,2,Kancheepuram,678899,Southern Region
tamil-nadu,2020,2,Tiruppur,550609,Southern Region
tamil-nadu,2020,2,Salem,499360,Southern Region
tamil-nadu,2020,2,Madurai,456527,Southern Region
tamil-nadu,2020,2,Krishnagiri,424184,Southern Region
tamil-nadu,2020,2,Tiruchirappalli,383178,Southern Region
tamil-nadu,2020,3,Chennai,1566152,Southern Region
tamil-nadu,2020,3,Thiruvallur,1260923,Southern Region
tamil-nadu,2020,3,Coimbatore,1073680,Southern Region
tamil-nadu,2020,3,Chengalpattu,1064263,Southern Region
tamil-nadu,2020,3,Kancheepuram,744437,Southern Region
tamil-nadu,2020,3,Tiruppur,625391,Southern Region
tamil-nadu,2020,3,Salem,564858,Southern Region
tamil-nadu,2020,3,Madurai,516447,Southern Region
tamil-nadu,2020,3,Krishnagiri,480568,Southern Region
tamil-nadu,2020,3,Tiruchirappalli,433221,Southern Region
tamil-nadu,2020,4,Chennai,1731527,Southern Region
tamil-nadu,2020,4,Thiruvallur,1408348,Southern Region
tamil-nadu,2020,4,Coimbatore,1205249,Southern Region
tamil-nadu,2020,4,Chengalpattu,1170720,Southern Region
tamil-nadu,2020,4,Kancheepuram,829207,Southern Region
tamil-nadu,2020,4,Tiruppur,710489,Southern Region
tamil-nadu,2020,4,Salem,638883,Southern Region
tamil-nadu,2020,4,Madurai,582252,Southern Region
tamil-nadu,2020,4,Krishnagiri,545815,Southern Region
tamil-nadu,2020,4,Tiruchirappalli,487716,Southern Region
tamil-nadu,2018,1,Chennai,292004,Southern Region
tamil-nadu,2018,1,Thiruvallur,215622,Southern Region
tamil-nadu,2018,1,Chengalpattu,215210,Southern Region
tamil-nadu,2018,1,Coimbatore,170306,Southern Region
tamil-nadu,2018,1,Kancheepuram,136352,Southern Region
tamil-nadu,2018,1,Salem,88288,Southern Region
tamil-nadu,2018,1,Tiruppur,87652,Southern Region
tamil-nadu,2018,1,Madurai,72582,Southern Region
tamil-nadu,2018,1,Krishnagiri,66958,Southern Region
tamil-nadu,2018,1,Tiruchirappalli,62230,Southern Region
tamil-nadu,2018,2,Chennai,401349,Southern Region
tamil-nadu,2018,2,Thiruvallur,300210,Southern Region
tamil-nadu,2018,2,Chengalpattu,292432,Southern Region
tamil-nadu,2018,2,Coimbatore,244374,Southern Region
tamil-nadu,2018,2,Kancheepuram,188583,Southern Region
tamil-nadu,2018,2,Tiruppur,128535,Southern Region
tamil-nadu,2018,2,Salem,126830,Southern Region
tamil-nadu,2018,2,Madurai,105957,Southern Region
tamil-nadu,2018,2,Krishnagiri,96842,Southern Region
tamil-nadu,2018,2,Tiruchirappalli,91156,Southern Region
tamil-nadu,2018,3,Chennai,511138,Southern Region
tamil-nadu,2018,3,Thiruvallur,381620,Southern Region
tamil-nadu,2018,3,Chengalpattu,368413,Southern Region
tamil-nadu,2018,3,Coimbatore,318461,Southern Region
tamil-nadu,2018,3,Kancheepuram,239985,Southern Region
tamil-nadu,2018,3,Tiruppur,172195,Southern Region
tamil-nadu,2018,3,Salem,164489,Southern Region
tamil-nadu,2018,3,Madurai,138064,Southern Region
tamil-nadu,2018,3,Krishnagiri,128769,Southern Region
tamil-nadu,2018,3,Tiruchirappalli,119661,Southern Region
tamil-nadu,2018,4,Chennai,689276,Southern Region
tamil-nadu,2018,4,Thiruvallur,514830,Southern Region
tamil-nadu,2018,4,Chengalpattu,483785,Southern Region
tamil-nadu,2018,4,Coimbatore,415090,Southern Region
tamil-nadu,2018,4,Kancheepuram,318007,Southern Region
tamil-nadu,2018,4,Tiruppur,227253,Southern Region
tamil-nadu,2018,4,Salem,215365,Southern Region
tamil-nadu,2018,4,Madurai,183206,Southern Region
tamil-nadu,2018,4,Krishnagiri,172743,Southern Region
tamil-nadu,2018,4,Tiruchirappalli,160006,Southern Region
lakshadweep,2022,1,Lakshadweep,5990,Southern Region
lakshadweep,2022,2,Lakshadweep,6327,Southern Region
lakshadweep,2022,3,Lakshadweep,6645,Southern Region
lakshadweep,2022,4,Lakshadweep,6961,Southern Region
lakshadweep,2019,1,Lakshadweep,1416,Southern Region
lakshadweep,2019,2,Lakshadweep,1747,Southern Region
lakshadweep,2019,3,Lakshadweep,2117,Southern Region
lakshadweep,2019,4,Lakshadweep,2427,Southern Region
lakshadweep,2021,1,Lakshadweep,4577,Southern Region
lakshadweep,2021,2,Lakshadweep,4896,Southern Region
lakshadweep,2021,3,Lakshadweep,5287,Southern Region
lakshadweep,2021,4,Lakshadweep,5638,Southern Region
lakshadweep,2020,1,Lakshadweep,2772,Southern Region
lakshadweep,2020,2,Lakshadweep,3187,Southern Region
lakshadweep,2020,3,Lakshadweep,3644,Southern Region
lakshadweep,2020,4,Lakshadweep,4179,Southern Region
lakshadweep,2018,1,Lakshadweep,501,Southern Region
lakshadweep,2018,2,Lakshadweep,686,Southern Region
lakshadweep,2018,3,Lakshadweep,918,Southern Region
lakshadweep,2018,4,Lakshadweep,1156,Southern Region
telangana,2022,1,Hyderabad,4306136,Southern Region
telangana,2022,1,Rangareddy,3722676,Southern Region
telangana,2022,1,Medchal Malkajgiri,3138387,Southern Region
telangana,2022,1,Sangareddy,997988,Southern Region
telangana,2022,1,Warangal Urban,797162,Southern Region
telangana,2022,1,Nalgonda,681754,Southern Region
telangana,2022,1,Khammam,650223,Southern Region
telangana,2022,1,Nizamabad,628661,Southern Region
telangana,2022,1,Karimnagar,592752,Southern Region
telangana,2022,1,Bhadradri Kothagudem,465349,Southern Region
telangana,2022,2,Hyderabad,4519625,Southern Region
telangana,2022,2,Rangareddy,3911372,Southern Region
telangana,2022,2,Medchal Malkajgiri,3297882,Southern Region
telangana,2022,2,Sangareddy,1051378,Southern Region
telangana,2022,2,Warangal Urban,838533,Southern Region
telangana,2022,2,Nalgonda,719911,Southern Region
telangana,2022,2,Khammam,685755,Southern Region
telangana,2022,2,Nizamabad,662427,Southern Region
telangana,2022,2,Karimnagar,624054,Southern Region
telangana,2022,2,Bhadradri Kothagudem,491003,Southern Region
telangana,2022,3,Hyderabad,4739891,Southern Region
telangana,2022,3,Rangareddy,4105107,Southern Region
telangana,2022,3,Medchal Malkajgiri,3463208,Southern Region
telangana,2022,3,Sangareddy,1106571,Southern Region
telangana,2022,3,Warangal Urban,881363,Southern Region
telangana,2022,3,Nalgonda,758377,Southern Region
telangana,2022,3,Khammam,721877,Southern Region
telangana,2022,3,Nizamabad,697031,Southern Region
telangana,2022,3,Karimnagar,656534,Southern Region
telangana,2022,3,Bhadradri Kothagudem,517431,Southern Region
telangana,2022,4,Hyderabad,4962214,Southern Region
telangana,2022,4,Rangareddy,4296707,Southern Region
telangana,2022,4,Medchal Malkajgiri,3628619,Southern Region
telangana,2022,4,Sangareddy,1159594,Southern Region
telangana,2022,4,Warangal Urban,923715,Southern Region
telangana,2022,4,Nalgonda,793688,Southern Region
telangana,2022,4,Khammam,755705,Southern Region
telangana,2022,4,Nizamabad,729287,Southern Region
telangana,2022,4,Karimnagar,687385,Southern Region
telangana,2022,4,Bhadradri Kothagudem,542203,Southern Region
telangana,2019,1,Hyderabad,1638436,Southern Region
telangana,2019,1,Rangareddy,1470874,Southern Region
telangana,2019,1,Medchal Malkajgiri,1279531,Southern Region
telangana,2019,1,Sangareddy,346529,Southern Region
telangana,2019,1,Warangal Urban,301881,Southern Region
telangana,2019,1,Karimnagar,218609,Southern Region
telangana,2019,1,Nalgonda,211184,Southern Region
telangana,2019,1,Khammam,206049,Southern Region
telangana,2019,1,Nizamabad,186351,Southern Region
telangana,2019,1,Siddipet,152281,Southern Region
telangana,2019,2,Hyderabad,1856926,Southern Region
telangana,2019,2,Rangareddy,1651300,Southern Region
telangana,2019,2,Medchal Malkajgiri,1428880,Southern Region
telangana,2019,2,Sangareddy,395371,Southern Region
telangana,2019,2,Warangal Urban,342602,Southern Region
telangana,2019,2,Karimnagar,246886,Southern Region
telangana,2019,2,Nalgonda,243227,Southern Region
telangana,2019,2,Khammam,239435,Southern Region
telangana,2019,2,Nizamabad,217841,Southern Region
telangana,2019,2,Siddipet,175413,Southern Region
telangana,2019,3,Hyderabad,2071673,Southern Region
telangana,2019,3,Rangareddy,1826019,Southern Region
telangana,2019,3,Medchal Malkajgiri,1572320,Southern Region
telangana,2019,3,Sangareddy,441944,Southern Region
telangana,2019,3,Warangal Urban,381730,Southern Region
telangana,2019,3,Karimnagar,274735,Southern Region
telangana,2019,3,Nalgonda,274568,Southern Region
telangana,2019,3,Khammam,270101,Southern Region
telangana,2019,3,Nizamabad,248977,Southern Region
telangana,2019,3,Siddipet,196397,Southern Region
telangana,2019,4,Hyderabad,2283903,Southern Region
telangana,2019,4,Rangareddy,2001437,Southern Region
telangana,2019,4,Medchal Malkajgiri,1714832,Southern Region
telangana,2019,4,Sangareddy,493353,Southern Region
telangana,2019,4,Warangal Urban,421970,Southern Region
telangana,2019,4,Nalgonda,312849,Southern Region
telangana,2019,4,Karimnagar,305507,Southern Region
telangana,2019,4,Khammam,304804,Southern Region
telangana,2019,4,Nizamabad,284623,Southern Region
telangana,2019,4,Siddipet,221164,Southern Region
telangana,2021,1,Hyderabad,3379663,Southern Region
telangana,2021,1,Rangareddy,2906635,Southern Region
telangana,2021,1,Medchal Malkajgiri,2450573,Southern Region
telangana,2021,1,Sangareddy,767476,Southern Region
telangana,2021,1,Warangal Urban,620947,Southern Region
telangana,2021,1,Nalgonda,517727,Southern Region
telangana,2021,1,Khammam,497818,Southern Region
telangana,2021,1,Nizamabad,485751,Southern Region
telangana,2021,1,Karimnagar,459407,Southern Region
telangana,2021,1,Bhadradri Kothagudem,354847,Southern Region
telangana,2021,2,Hyderabad,3598337,Southern Region
telangana,2021,2,Rangareddy,3097973,Southern Region
telangana,2021,2,Medchal Malkajgiri,2611159,Southern Region
telangana,2021,2,Sangareddy,820387,Southern Region
telangana,2021,2,Warangal Urban,661592,Southern Region
telangana,2021,2,Nalgonda,555043,Southern Region
telangana,2021,2,Khammam,532589,Southern Region
telangana,2021,2,Nizamabad,518801,Southern Region
telangana,2021,2,Karimnagar,490218,Southern Region
telangana,2021,2,Bhadradri Kothagudem,380059,Southern Region
telangana,2021,3,Hyderabad,3839513,Southern Region
telangana,2021,3,Rangareddy,3310906,Southern Region
telangana,2021,3,Medchal Malkajgiri,2790387,Southern Region
telangana,2021,3,Sangareddy,880907,Southern Region
telangana,2021,3,Warangal Urban,707591,Southern Region
telangana,2021,3,Nalgonda,598288,Southern Region
telangana,2021,3,Khammam,572647,Southern Region
telangana,2021,3,Nizamabad,556044,Southern Region
telangana,2021,3,Karimnagar,524929,Southern Region
telangana,2021,3,Bhadradri Kothagudem,409224,Southern Region
telangana,2021,4,Hyderabad,4081185,Southern Region
telangana,2021,4,Rangareddy,3523496,Southern Region
telangana,2021,4,Medchal Malkajgiri,2969740,Southern Region
